,Year/State,Year/State,Opioid Data,Income Data,Employment Data,Employment Data,Education Data,Education Data,Education Data,Education Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data
,Year,State,Total Opioid Deaths,Median Household Income (in Inflation–Adjusted Dollars),Total in Labor Force,Total Unemployed in Civilian Labor Force,Total Surveyed,No High School Degree,High School Diploma or GED,College Degree or greater,Estimated Total Household Type(Including Living Alone),Estimated Total Family Households(Married Couples),Estimated Total Family Households(Male Householder No Spouse),Estimated Total Family Households(Female Householder No Spouse),Estimated Total Family Household(Nonfamily Households),Estimated Total Family Household(Householder Living Alone)
180,2018,Alabama,0.0,49861.0,2231613,124835,3337464,448179,1748963,1140322,1855184,879227,77949,257618,640390,555330
181,2018,Alaska,82.5,74346.0,388885,25410,485353,32444,266543,186366,254551,127824,15613,24090,87024,66253
182,2018,Arizona,1028.416667,59246.0,3415877,181757,4840304,605934,2367455,1866915,2614298,1247270,151694,314042,901292,704852
183,2018,Arkansas,0.0,47062.0,1382752,61872,2021939,258986,1137535,625418,1156347,553461,57646,158027,387213,325971
184,2018,California,0.0,75277.0,20169143,1108664,26815644,4355017,11149008,11311619,13072122,6458423,791114,1685084,4137501,3133413
185,2018,Colorado,573.6,71953.0,3138416,122498,3900287,317116,1628367,1954804,2176757,1068185,98735,205785,804052,610855
186,2018,Delaware,329.1,64805.0,489706,27858,679700,69081,345979,264640,367671,173834,18223,46342,129272,106275
187,2018,District of Columbia,219.9166667,85203.0,414568,31074,500176,39628,144430,316118,287476,73009,10168,38352,165947,131010
188,2018,Connecticut,953.6666667,76348.0,1936101,106371,2493396,226254,1083941,1183201,1378091,650317,66986,174632,486156,401058
189,2018,Florida,0.0,55462.0,10316295,530845,15302125,1761732,7403653,6136740,7809358,3638058,388082,1000375,2782843,2264215
190,2018,Georgia,916.25,58756.0,5245825,249896,6978172,866099,3325266,2786807,3803012,1783375,183361,570670,1265606,1044144
191,2018,Idaho,0.0,55583.0,843615,33438,1143747,103868,610294,429585,640270,348814,28650,60301,202505,162681
192,2018,Hawaii,55.22222222,80212.0,752795,27230,995589,80079,471380,444130,455309,235162,23152,58535,138460,111739
193,2018,Illinois,2236.166667,65030.0,6676623,368739,8706376,914782,4034059,3757535,4864864,2293091,227200,598810,1745763,1437587
194,2018,Indiana,0.0,55746.0,3391849,149266,4467893,491834,2367169,1608890,2599169,1248277,130027,304872,915993,752041
195,2018,Iowa,172.0833333,59955.0,1678071,60717,2104792,162649,1083606,858537,1267873,622142,57143,121044,467544,375230
196,2018,Kansas,0.0,58218.0,1515474,57197,1911426,172033,922285,817108,1133408,570740,46800,109208,406660,331106
197,2018,Kentucky,1048.090909,50247.0,2117233,109879,3039414,401064,1622601,1015749,1732713,837979,83684,217264,593786,486434
198,2018,Louisiana,,,2168385,137130,3125733,442559,1721447,961727,1737220,748604,88289,267954,632373,532003
199,2018,Maine,330.4166667,55602.0,704960,24865,983382,68461,509597,405324,570307,267015,24306,51221,227765,175631
200,2018,Maryland,2149.333333,83242.0,3283636,160777,4167339,396131,1788726,1982482,2215935,1069433,101726,301213,743563,604368
201,2018,Massachusetts,1989.583333,79835.0,3807761,180720,4832728,446304,1867727,2518697,2624294,1225244,109287,309674,980089,760203
202,2018,Michigan,2030.333333,56697.0,4977773,265532,6869846,612424,3567802,2689620,3957466,1849470,195538,474993,1437465,1172606
203,2018,Minnesota,0.0,70315.0,3080480,104622,3809229,252805,1712783,1843641,2194452,1103111,96300,197416,797625,630779
